matchday,player_id,player_name,team_id,matches,minutes,goals,assists,shots,key_passes,tackles,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,goal_involvements,goals_p90,assists_p90,ga_p90,key_passes_p90,def_actions_p90,duel_win_pct,dribble_success_pct,above_min_threshold
3,237078,Pedro Vite,2382,1,90.0,0.0,1.0,0.0,2.0,9.0,2.0,20.0,11.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,11.0,55.0,0.0,True
3,16369,Gonzalo Plata,2382,1,90.0,1.0,0.0,2.0,0.0,3.0,0.0,14.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,35.7,50.0,True
3,644,Leroy Sané,25,1,90.0,1.0,0.0,2.0,1.0,2.0,1.0,12.0,4.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,33.3,0.0,True
3,162222,Ivan Bašić,1113,1,90.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,85.7,100.0,True
3,50737,Auston Trusty,2384,1,90.0,1.0,0.0,3.0,0.0,1.0,4.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,62.5,,True
3,22149,Ibrahim Sangaré,1501,1,90.0,0.0,1.0,0.0,1.0,3.0,2.0,12.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,66.7,,True
3,38695,Jan Paul van Hecke,1118,1,90.0,1.0,0.0,2.0,1.0,2.0,1.0,11.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,45.5,,True
3,278898,Chadi Riad,31,1,95.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,1.0,0.0,1.0,0.0,0.947,0.947,0.947,1.895,57.1,0.0,True
3,294824,Nathan-Dylan Saliba,5529,1,97.0,0.0,1.0,0.0,2.0,2.0,1.0,10.0,5.0,3.0,2.0,1.0,0.0,0.928,0.928,1.856,2.784,50.0,66.7,True
3,48497,Cédric Itten,15,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False
3,116117,Moisés Caicedo,2382,1,90.0,0.0,0.0,1.0,1.0,4.0,1.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,45.5,0.0,True
3,48648,Dan Ndoye,15,1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,,False
3,127227,Israel Reyes,16,1,90.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.7,,True
3,127429,Iqraam Rayners,1531,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,False
3,99211,Jin-seob Park,17,1,24.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False
3,127817,Piero Hincapié,2382,1,71.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.535,16.7,0.0,False
3,127769,Gabriel Martinelli,6,1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False
3,106485,Mauricio,2380,1,45.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,,False
3,48002,Benjamin Nygren,5,1,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,False
3,158644,Maximilian Beier,25,1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,False
3,48033,Jacob Widell Zetterström,5,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,True
3,158433,Sphephelo Sithole,1531,1,90.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,44.4,100.0,True
3,157997,Amad Diallo,1501,1,45.0,0.0,0.0,3.0,0.0,2.0,0.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,62.5,100.0,False
3,138804,Matěj Kovář,770,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True
3,138417,Nathan Patterson,1108,1,82.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,42.9,0.0,False
3,137976,Isak Hien,5,1,37.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,False
3,49424,Aymen Dahmen,28,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,True
3,48119,Odilon Kossounou,1501,1,90.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,,True
3,137210,Angelo Stiller,25,1,45.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,,False
3,135059,Amine Ben Hmida,28,1,68.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.618,62.5,,False
3,134590,Oğuz Aydın,777,1,89.0,0.0,0.0,0.0,1.0,6.0,0.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.011,6.067,66.7,0.0,False
3,129678,Azzedine Ounahi,31,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False
3,129058,Bart Verbruggen,1118,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True
3,128766,Louicius Don Deedson,2386,1,28.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.214,25.0,50.0,False
3,48378,Silvan Widmer,15,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False
3,137721,Gustaf Lagerbielke,5,1,90.0,0.0,0.0,2.0,0.0,2.0,1.0,9.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,66.7,100.0,True
3,49866,Uğurcan Çakır,777,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True
3,63964,Félix Torres,2382,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
3,50030,Montassar Talbi,28,1,90.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,,True
3,61837,Abdülkerim Bardakcı,777,1,90.0,0.0,0.0,0.0,0.0,4.0,1.0,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,88.9,100.0,True
3,57518,Sebastian Tounekti,28,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
3,50057,Eren Elmalı,777,1,90.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,83.3,66.7,True
3,51295,Derek Cornelius,5529,1,97.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.856,50.0,,True
3,51274,Maxime Crépeau,5529,1,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True
3,73868,Ricardo Pepi,2384,1,90.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.5,,True
3,50735,Mark McKenzie,2384,1,90.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.1,,True
3,50999,Matt Turner,2384,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True
3,50879,Miles Robinson,2384,1,90.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,40.0,,True
3,50852,Joe Scally,2384,1,77.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.169,2.338,57.1,,False
3,50739,Brenden Aaronson,2384,1,77.0,0.0,0.0,2.0,2.0,4.0,0.0,16.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.338,4.675,31.2,0.0,False
3,50788,Mathieu Choinière,5529,1,58.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.552,4.655,80.0,,False
3,50816,Richie Laryea,5529,1,83.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,False
3,50826,Jacob Shaffelburg,5529,1,14.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.857,6.429,0.0,0.0,False
3,51016,Tajon Buchanan,5529,1,75.0,0.0,0.0,0.0,1.0,2.0,1.0,9.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.2,3.6,55.6,0.0,False
3,95460,Alex Arce,2380,1,23.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.913,0.0,33.3,,False
3,94562,Santiago Giménez,16,1,27.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False
3,87789,Johny Placide,2386,1,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True
3,49469,Mortadha Ben Ouanes,28,1,22.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091,100.0,,False
3,78547,Alistair Johnston,5529,1,97.0,0.0,0.0,2.0,2.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.856,2.784,16.7,,True
3,72155,Ayase Ueda,12,1,66.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,,False
3,70852,Orlando Gill,2380,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True
3,70747,Julio Enciso,2380,1,90.0,0.0,0.0,1.0,0.0,1.0,0.0,22.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,22.7,18.2,True
3,64190,Yahia Fofana,1501,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,True
3,67195,Mohamed Belhadj Mahmoud,28,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False
3,49583,Ali Abdi,28,1,90.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.0,,True
3,66407,Ladislav Krejčí,770,1,90.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,,True
3,66387,Pavel Šulc,770,1,90.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,True
3,66353,Lukáš Provod,770,1,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,False
3,66214,David Douděra,770,1,90.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,True
3,66019,Adam Hložek,770,1,64.0,0.0,0.0,0.0,2.0,1.0,0.0,12.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.812,1.406,66.7,50.0,False
3,161747,Guéla Doué,1501,1,90.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,,True
3,49857,İrfan Can Kahveci,777,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0,,False
3,70732,José Canale,2380,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False
3,414149,Relebohile Mofokeng,1531,1,80.0,0.0,0.0,1.0,4.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.25,33.3,,False
3,409670,Arjan Malić,1113,1,45.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,,False
3,406846,Tyrese Noslin,5530,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False
3,406752,Ime Okon,1531,1,90.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,40.0,,True
3,348568,Alessandro Circati,20,1,90.0,0.0,0.0,0.0,0.0,3.0,1.0,14.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,64.3,100.0,True
3,347316,Lucas Bergvall,5,1,53.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.698,0.0,25.0,,False
3,343576,Ben Gannon-Doak,1108,1,82.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098,14.3,0.0,False
3,342035,Cristian Volpato,20,1,58.0,0.0,0.0,1.0,3.0,0.0,0.0,13.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,4.655,0.0,23.1,42.9,False
3,340573,Bilal El Khannouss,31,1,95.0,0.0,0.0,2.0,3.0,3.0,0.0,16.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,2.842,2.842,62.5,71.4,True
3,181812,Jamal Musiala,25,1,90.0,0.0,0.0,0.0,1.0,2.0,1.0,19.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,52.6,75.0,True
3,339883,Kenan Yıldız,777,1,84.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.214,45.5,0.0,False
3,338367,Danley Jean Jacques,2386,1,80.0,0.0,0.0,0.0,0.0,7.0,1.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,70.0,,False
3,338014,Nestory Irankunda,20,1,84.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.071,50.0,0.0,False
3,337587,Jordan Bos,20,1,90.0,0.0,0.0,3.0,3.0,3.0,1.0,27.0,16.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,59.3,57.1,True
3,334429,Oumar Diakité,1501,1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,40.0,False
3,329409,Esmir Bajraktarević,1113,1,90.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,66.7,100.0,True
3,328033,Aleksandar Pavlović,25,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,33.3,False
3,327738,Luc De Fougerolles,5529,1,97.0,0.0,0.0,1.0,0.0,2.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.856,54.5,,True
3,326183,Redouane Halhal,31,1,95.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947,72.7,,True
3,322101,Amar Memić,1113,1,45.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,,False
3,339887,Can Uzun,777,1,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False
3,545,Noussair Mazraoui,31,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False
3,544,Noa Lang,1118,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False
